Nama,NIM,Jenis_Kelamin,Status_Mahasiswa,Umur,Ips 1,Ips 2,Ips 3,Ips 4,Ips 5,Ips 6,Ips 7,Ips 8,IPK,Status_Kelulusan
Andi,2310114094,0,0,22,3.08,3.25,3.11,3.29,3.18,3.33,3.02,3.31,3.2,1
Budi,2310114095,0,1,24,2.3,2.55,2.4,2.65,2.45,2.6,2.35,2.65,2.5,0
Citra,2310114096,1,0,22,3.45,3.68,3.47,3.65,3.5,3.73,3.4,3.68,3.6,1
Dinda,2310114097,1,1,24,2.65,2.85,2.7,2.9,2.75,2.95,2.6,2.85,2.8,0
Eko,2310114098,0,0,22,2.95,3.15,2.98,3.12,3.05,3.18,2.92,3.2,3.1,1
Farah,2310114099,1,1,24,2.2,2.45,2.22,2.48,2.25,2.5,2.18,2.45,2.4,0
Galih,2310114100,0,0,22,3.55,3.75,3.58,3.7,3.6,3.78,3.5,3.8,3.7,1
Hani,2310114101,1,1,24,2.8,3.05,2.83,3.02,2.88,3.1,2.7,3.05,3.0,0
Iqbal,2310114102,0,1,24,2.7,2.9,2.73,2.95,2.78,3.0,2.65,2.95,2.9,0
Joko,2310114103,0,0,22,3.2,3.45,3.22,3.48,3.3,3.55,3.15,3.5,3.4,1
Kiki,2310114104,1,0,22,3.15,3.35,3.18,3.38,3.2,3.45,3.1,3.4,3.3,1
Lukman,2310114105,0,1,24,2.45,2.7,2.48,2.72,2.5,2.75,2.4,2.7,2.6,0
